index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
4764,462856,ASASSN-V J163450.48-131216.5,RRAB,0.0597,16.32,10170.39,0.51808,0.0488
4765,480893,ASASSN-V J105607.20-674832.4,RRAB,0.1262,14.12,6108.893,0.56011,0.0222
4766,564060,ASASSN-V J164834.42-265008.1,RRAB,0.143,14.8,4792.812,0.63652,0.037
4767,504195,ASASSN-V J202609.92+210329.1,RRAB,0.2158,14.04,3731.531,0.376884,0.0295
4768,479092,ASASSN-V J194241.89-071216.4,RRAB,0.1278,15.62,5031.833,0.45784,0.0355
4769,451847,ASASSN-V J174645.07+734420.6,RRAB,0.1123,14.69,6147.462,0.52812,0.0275
4770,463631,ASASSN-V J194429.93+174833.3,RRAB,0.1519,15.71,4895.136,0.41362,0.0377
4771,510896,ASASSN-V J172131.50-500719.2,RRAB,0.1666,14.76,4274.844,0.46948,0.0403
4772,457059,ASASSN-V J223618.55-755217.7,RRAB,0.0575,16.03,6684.008,0.53306,0.033
4773,58588391,ASASSN-V J181543.49-562340.7,RRAB,0.8621,14.32,1113.239,0.580513,0.0247
4774,481524,ASASSN-V J170817.84-115340.5,RRAB,0.2018,15.41,5272.1,0.57605,0.0399
4775,473619,ASASSN-V J191435.78-105552.8,RRAB,0.1167,15.33,7075.122,0.53244,0.0346
4776,490996,ASASSN-V J190947.63-115922.1,RRAB,0.1975,15.35,3968.488,0.38352,0.0368
4777,503269,ASASSN-V J191010.49-204814.2,RRAB,0.1751,15.99,4877.216,0.43393,0.0651
4778,502551,ASASSN-V J184824.18-380542.5,RRAB,0.0505,15.75,6392.127,0.50078,0.0424
